Date : 2023-09-06 11:26:00
Directory : g:\MyVue\vue-element-admin\src
Total : 253 files,  19297 codes, 1495 comments, 1150 blanks, all 21942 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\MyVue\vue-element-admin\src\utils\index.js                                        | JavaScript |        235 |        100 |         23 |        358 |
| g:\MyVue\vue-element-admin\src\utils\open-window.js                                  | JavaScript |         12 |          9 |          5 |         26 |
| g:\MyVue\vue-element-admin\src\utils\permission.js                                   | JavaScript |         14 |          5 |          3 |         22 |
| g:\MyVue\vue-element-admin\src\utils\request.js                                      | JavaScript |         57 |         69 |          5 |        131 |
| g:\MyVue\vue-element-admin\src\utils\scroll-to.js                                    | JavaScript |         39 |         15 |          5 |         59 |
| g:\MyVue\vue-element-admin\src\utils\stringAdvanced.js                               | JavaScript |        201 |         33 |         20 |        254 |
| g:\MyVue\vue-element-admin\src\utils\time.js                                         | JavaScript |          6 |          4 |          1 |         11 |
| g:\MyVue\vue-element-admin\src\utils\validate.js                                     | JavaScript |         39 |         40 |         10 |         89 |
| g:\MyVue\vue-element-admin\src\vendor\Export2Excel.js                                | JavaScript |        182 |         52 |         23 |        257 |
| g:\MyVue\vue-element-admin\src\vendor\Export2Zip.js                                  | JavaScript |         22 |          1 |          2 |         25 |
| g:\MyVue\vue-element-admin\src\views\charts\keyboard.vue                             | Vue        |         19 |          0 |          5 |         24 |
| g:\MyVue\vue-element-admin\src\views\charts\line.vue                                 | Vue        |         19 |          0 |          5 |         24 |
| g:\MyVue\vue-element-admin\src\views\charts\mix-chart.vue                            | Vue        |         19 |          0 |          5 |         24 |
| g:\MyVue\vue-element-admin\src\views\codeDict\components\dialog.vue                  | Vue        |        195 |          8 |          5 |        208 |
| g:\MyVue\vue-element-admin\src\views\codeDict\components\index.js                    | JavaScript |          2 |          0 |          1 |          3 |
| g:\MyVue\vue-element-admin\src\views\codeDict\components\search.vue                  | Vue        |         96 |          2 |          5 |        103 |
| g:\MyVue\vue-element-admin\src\views\codeDict\index.vue                              | Vue        |        194 |         26 |          5 |        225 |
| g:\MyVue\vue-element-admin\src\views\dashboard\admin\components\BarChart.vue         | Vue        |         98 |          0 |          5 |        103 |
| g:\MyVue\vue-element-admin\src\views\dashboard\admin\components\BoxCard.vue          | Vue        |        114 |          0 |          5 |        119 |
| g:\MyVue\vue-element-admin\src\views\dashboard\admin\components\LineChart.vue        | Vue        |        133 |          0 |          3 |        136 |
| g:\MyVue\vue-element-admin\src\views\dashboard\admin\components\PanelGroup.vue       | Vue        |        213 |          0 |         22 |        235 |
| g:\MyVue\vue-element-admin\src\views\dashboard\admin\components\PieChart.vue         | Vue        |         76 |          0 |          4 |         80 |
| g:\MyVue\vue-element-admin\src\views\dashboard\admin\components\RaddarChart.vue      | Vue        |        112 |          0 |          5 |        117 |
| g:\MyVue\vue-element-admin\src\views\dashboard\admin\components\TodoList\Todo.vue    | Vue        |         80 |          0 |          2 |         82 |
| g:\MyVue\vue-element-admin\src\views\dashboard\admin\components\TodoList\index.scss  | SCSS       |        309 |         11 |          1 |        321 |
| g:\MyVue\vue-element-admin\src\views\dashboard\admin\components\TodoList\index.vue   | Vue        |        123 |          1 |          4 |        128 |
| g:\MyVue\vue-element-admin\src\views\dashboard\admin\components\TransactionTable.vue | Vue        |         53 |          0 |          3 |         56 |
| g:\MyVue\vue-element-admin\src\views\dashboard\admin\components\mixins\resize.js     | JavaScript |         50 |          4 |          2 |         56 |
| g:\MyVue\vue-element-admin\src\views\dashboard\admin\index.vue                       | Vue        |        110 |          4 |          7 |        121 |
| g:\MyVue\vue-element-admin\src\views\dashboard\editor\index.vue                      | Vue        |         70 |          0 |          5 |         75 |
| g:\MyVue\vue-element-admin\src\views\dashboard\index.vue                             | Vue        |         29 |          0 |          3 |         32 |
| g:\MyVue\vue-element-admin\src\views\department\components\dialog.vue                | Vue        |        105 |          1 |          3 |        109 |
| g:\MyVue\vue-element-admin\src\views\department\components\index.js                  | JavaScript |          2 |          0 |          1 |          3 |
| g:\MyVue\vue-element-admin\src\views\department\components\search.vue                | Vue        |         88 |          1 |          5 |         94 |
| g:\MyVue\vue-element-admin\src\views\department\index.vue                            | Vue        |        160 |          4 |          5 |        169 |
| g:\MyVue\vue-element-admin\src\views\error-page\401.vue                              | Vue        |         80 |          0 |          4 |         84 |
| g:\MyVue\vue-element-admin\src\views\error-page\404.vue                              | Vue        |        225 |          0 |          4 |        229 |
| g:\MyVue\vue-element-admin\src\views\excel\components\AutoWidthOption.vue            | Vue        |         33 |          0 |          2 |         35 |
| g:\MyVue\vue-element-admin\src\views\excel\components\BookTypeOption.vue             | Vue        |         38 |          0 |          2 |         40 |
| g:\MyVue\vue-element-admin\src\views\excel\components\FilenameOption.vue             | Vue        |         26 |          0 |          2 |         28 |
| g:\MyVue\vue-element-admin\src\views\excel\export-excel.vue                          | Vue        |         54 |          2 |          4 |         60 |
| g:\MyVue\vue-element-admin\src\views\excel\merge-header.vue                          | Vue        |         96 |          0 |          6 |        102 |
| g:\MyVue\vue-element-admin\src\views\excel\select-excel.vue                          | Vue        |        105 |          0 |          3 |        108 |
| g:\MyVue\vue-element-admin\src\views\excel\upload-excel.vue                          | Vue        |         38 |          3 |          5 |         46 |
| g:\MyVue\vue-element-admin\src\views\formula\components\index.js                     | JavaScript |          2 |          0 |          1 |          3 |
| g:\MyVue\vue-element-admin\src\views\formula\components\search.vue                   | Vue        |        107 |          1 |          5 |        113 |
| g:\MyVue\vue-element-admin\src\views\formula\components\tagshow.vue                  | Vue        |         62 |          0 |          3 |         65 |
| g:\MyVue\vue-element-admin\src\views\formula\detail.vue                              | Vue        |        596 |         18 |          3 |        617 |
| g:\MyVue\vue-element-admin\src\views\formula\index.vue                               | Vue        |        310 |         13 |          5 |        328 |
| g:\MyVue\vue-element-admin\src\views\formula\mapping.vue                             | Vue        |        221 |          3 |          6 |        230 |
| g:\MyVue\vue-element-admin\src\views\login\auth-redirect.vue                         | Vue        |         15 |          0 |          1 |         16 |
| g:\MyVue\vue-element-admin\src\views\login\components\SocialSignin.vue               | Vue        |         58 |         11 |          4 |         73 |
| g:\MyVue\vue-element-admin\src\views\login\index.vue                                 | Vue        |        274 |         23 |         28 |        325 |
| g:\MyVue\vue-element-admin\src\views\permission\components\SwitchRoles.vue           | Vue        |         31 |          0 |          2 |         33 |
| g:\MyVue\vue-element-admin\src\views\permission\directive.vue                        | Vue        |        101 |          0 |         11 |        112 |
| g:\MyVue\vue-element-admin\src\views\permission\page.vue                             | Vue        |         17 |          0 |          3 |         20 |
| g:\MyVue\vue-element-admin\src\views\permission\role.vue                             | Vue        |        239 |         18 |         23 |        280 |
| g:\MyVue\vue-element-admin\src\views\redirect\index.vue                              | Vue        |         12 |          0 |          1 |         13 |
| g:\MyVue\vue-element-admin\src\views\report\content.vue                              | Vue        |         58 |          0 |          3 |         61 |
| g:\MyVue\vue-element-admin\src\views\report\index.vue                                | Vue        |         80 |          5 |          4 |         89 |
| g:\MyVue\vue-element-admin\src\views\salary\components\detailDialog.vue              | Vue        |        193 |          4 |          4 |        201 |
| g:\MyVue\vue-element-admin\src\views\salary\components\formItem.vue                  | Vue        |         99 |          1 |          6 |        106 |
| g:\MyVue\vue-element-admin\src\views\salary\components\index.js                      | JavaScript |          2 |          0 |          1 |          3 |
| g:\MyVue\vue-element-admin\src\views\salary\components\input.vue                     | Vue        |        149 |          8 |          4 |        161 |
| g:\MyVue\vue-element-admin\src\views\salary\components\salaryItem.vue                | Vue        |          3 |          0 |          1 |          4 |
| g:\MyVue\vue-element-admin\src\views\salary\components\search.vue                    | Vue        |        164 |          3 |          5 |        172 |
| g:\MyVue\vue-element-admin\src\views\salary\dict\searchTypeDict.js                   | JavaScript |          9 |          0 |          2 |         11 |
| g:\MyVue\vue-element-admin\src\views\salary\index.vue                                | Vue        |        322 |          8 |          4 |        334 |
| g:\MyVue\vue-element-admin\src\views\salary\salaryAdd.vue                            | Vue        |        689 |        102 |          6 |        797 |
| g:\MyVue\vue-element-admin\src\views\salary\salaryDetail.vue                         | Vue        |        580 |         41 |          7 |        628 |
| g:\MyVue\vue-element-admin\src\views\salary\welfare.vue                              | Vue        |        198 |          0 |          4 |        202 |
| g:\MyVue\vue-element-admin\src\views\userManage\components\index.js                  | JavaScript |          2 |          0 |          1 |          3 |
| g:\MyVue\vue-element-admin\src\views\userManage\components\search.vue                | Vue        |        184 |          1 |          6 |        191 |
| g:\MyVue\vue-element-admin\src\views\userManage\components\userDialog.vue            | Vue        |        236 |          0 |          6 |        242 |
| g:\MyVue\vue-element-admin\src\views\userManage\index.vue                            | Vue        |        450 |         40 |          6 |        496 |
| Total                                                                                |            |     19,297 |      1,495 |      1,150 |     21,942 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
